gtfs_route,model_route,operator
shp-65-03,AATA_065_WB,AATA
shp-65-53,AATA_065_EB,AATA
shp-65-51,AATA_065_EB,AATA
shp-66-08,AATA_066_NB_Eve,AATA
shp-66-10,AATA_066_NB_PreEve,AATA
shp-66-58,AATA_066_SB_Eve,AATA
shp-66-51,AATA_066_SB_PreEve,AATA
shp-66-07,AATA_066_Branch,AATA
shp-66-09,AATA_066_Branch,AATA
shp-66-52,AATA_066_Branch,AATA
shp-66-53,AATA_066_Branch,AATA
shp-66-59,AATA_066_Branch,AATA
shp-66-57,AATA_066_Branch,AATA
shp-68-51,AATA_068_NB,AATA
shp-68-03,AATA_068_SB,AATA
shp-1-04,DDOT_01_EB,DDOT
shp-1-53,DDOT_01_WB,DDOT
shp-2-12,DDOT_02_EB,DDOT
shp-2-51,DDOT_02_WB,DDOT
shp-3-06,DDOT_03_EB,DDOT
shp-3-52,DDOT_03_WB,DDOT
shp-4-07,DDOT_04_NB,DDOT
shp-4-54,DDOT_04_SB,DDOT
shp-5-08,DDOT_05_NB,DDOT
shp-5-55,DDOT_05_SB,DDOT
shp-6-04,DDOT_06_NB,DDOT
shp-6-52,DDOT_06_SB,DDOT
shp-7-07,DDOT_07_EB,DDOT
shp-7-10,DDOT_07_WB,DDOT
shp-8-10,DDOT_08_EB,DDOT
shp-8-14,DDOT_08_WB,DDOT
shp-9-05,DDOT_09_EB,DDOT
shp-9-53,DDOT_09_WB,DDOT
shp-10-09,DDOT_10_NB,DDOT
shp-10-08,DDOT_10_SB,DDOT
shp-11-11,DDOT_11_EB,DDOT
shp-11-60,DDOT_11_WB,DDOT
shp-12-11,DDOT_12_NB,DDOT
shp-12-53,DDOT_12_SB,DDOT
shp-13-06,DDOT_13_NB,DDOT
shp-13-54,DDOT_13_SB,DDOT
shp-15-05,DDOT_15_EB,DDOT
shp-15-54,DDOT_15_WB,DDOT
shp-16-30,DDOT_16_NB,DDOT
shp-16-72,DDOT_16_SB,DDOT
shp-17-57,DDOT_17_EB,DDOT
shp-17-11,DDOT_17_WB,DDOT
shp-18-08,DDOT_18_NB,DDOT
shp-18-06,DDOT_18_SB,DDOT
shp-19-05,DDOT_19_EB,DDOT
shp-19-54,DDOT_19_WB,DDOT
shp-23-07,DDOT_23_NB,DDOT
shp-23-53,DDOT_23_SB,DDOT
shp-27-08,DDOT_27_EB,DDOT
shp-27-55,DDOT_27_WB,DDOT
shp-29-04,DDOT_29_NB,DDOT
shp-29-54,DDOT_29_SB,DDOT
shp-30-15,DDOT_30_NB_Eve,DDOT
shp-30-56,DDOT_30_SB_Eve,DDOT
shp-31-05,DDOT_31_EB,DDOT
shp-31-03,DDOT_31_WB,DDOT
,DDOT_32_EB_Eve,DDOT
shp-32-68,DDOT_32_EB_PreEve,DDOT
,DDOT_32_WB_Eve,DDOT
shp-32-28,DDOT_32_WB_PreEve,DDOT
shp-38-19,DDOT_38_EB,DDOT
shp-38-24,DDOT_38_WB,DDOT
shp-39-03,DDOT_39_EB,DDOT
shp-39-04,DDOT_39_WB,DDOT
shp-40-54,DDOT_40_NB,DDOT
shp-40-08,DDOT_40_SB,DDOT
shp-41-03,DDOT_41_NB,DDOT
shp-41-04,DDOT_41_SB,DDOT
shp-42-02,DDOT_42_Loop,DDOT
shp-43-04,DDOT_43_EB,DDOT
shp-43-51,DDOT_43_WB,DDOT
shp-46-01,DDOT_46_NB,DDOT
shp-46-51,DDOT_46_SB,DDOT
shp-47-04,DDOT_47_EB_OffPeak,DDOT
shp-47-06,DDOT_47_EB_Peak,DDOT
shp-47-56,DDOT_47_WB_OffPeak,DDOT
shp-47-08,DDOT_47_WB_Peak,DDOT
shp-52-08,DDOT_52_NB,DDOT
shp-52-55,DDOT_52_SB,DDOT
shp-54-10,DDOT_54_NB,DDOT
shp-54-56,DDOT_54_SB,DDOT
shp-60-01,DDOT_60_NB,DDOT
shp-60-02,DDOT_60_SB,DDOT
shp-67-06,DDOT_67_EB,DDOT
shp-67-56,DDOT_67_WB,DDOT
shp-68-02,DDOT_68_NB,DDOT
shp-68-52,DDOT_68_SB,DDOT
shp-125-01,SMART_125_NB,SMART
shp-125-51,SMART_125_SB,SMART
shp-140-02,SMART_140_NB,SMART
shp-140-55,SMART_140_SB,SMART
hp-160-04,SMART_160_NB,SMART
,SMART_160_NB_DRIW,SMART
shp-160-54,SMART_160_SB,SMART
,SMART_160_SB_DRIW,SMART
shp-200-56,SMART_200_EB,SMART
shp-200-03,SMART_200_WB,SMART
shp-210-01,SMART_210_EB,SMART
shp-210-51,SMART_210_WB,SMART
shp-250-04,SMART_250_EB,SMART
shp-250-53,SMART_250_WB,SMART
shp-255-51,SMART_255_EB,SMART
shp-255-02,SMART_255_WB,SMART
shp-261-51,SMART_261_EB,SMART
shp-261-01,SMART_261_WB,SMART
shp-275-06,SMART_275_NB,SMART
shp-275-59,SMART_275_SB,SMART
shp-280-04,SMART_280_NB,SMART
shp-280-54,SMART_280_SB,SMART
shp-305-02,SMART_305_NB,SMART
shp-305-52,SMART_305_SB,SMART
shp-375-01,SMART_375_NB,SMART
shp-375-51,SMART_375_SB,SMART
,SMART_400_NB,SMART
,SMART_400_SB,SMART
shp-405-03,SMART_405_EB,SMART
shp-405-52,SMART_405_WB,SMART
shp-415-02,SMART_415_NB,SMART
shp-415-52,SMART_415_SB,SMART
shp-420-03,SMART_420_NB,SMART
shp-420-53,SMART_420_SB,SMART
shp-430-02,SMART_430_NB,SMART
shp-430-52,SMART_430_SB,SMART
shp-450-01,SMART_450_NB,SMART
shp-450-53,SMART_450_SB,SMART
shp-460-01,SMART_460_NB,SMART
shp-460-52,SMART_460_SB,SMART
shp-461-01,SMART_461_NB,SMART
shp-461-51,SMART_461_SB,SMART
shp-462-01,SMART_462_NB,SMART
shp-462-51,SMART_462_SB,SMART
shp-492-01,SMART_492_NB,SMART
shp-492-53,SMART_492_SB,SMART
shp-494-02,SMART_494_NB,SMART
shp-494-52,SMART_494_SB,SMART
shp-495-01,SMART_495_NB,SMART
shp-495-51,SMART_495_SB,SMART
shp-510-01,SMART_510_NB_Lakeside,SMART
shp-510-05,SMART_510_NB_Walmart,SMART
shp-510-51,SMART_510_SB_Lakeside,SMART
shp-510-61,SMART_510_SB_Walmart,SMART
shp-525-01,SMART_525_NB,SMART
shp-525-51,SMART_525_SB,SMART
shp-530-01,SMART_530_NB,SMART
shp-530-51,SMART_530_SB,SMART
shp-550-02,SMART_550_NB,SMART
shp-550-52,SMART_550_SB,SMART
shp-560-09,SMART_560_NB,SMART
shp-560-61,SMART_560_SB,SMART
shp-562-02,SMART_562_NB,SMART
shp-562-52,SMART_562_SB,SMART
shp-563-01,SMART_563_NB,SMART
shp-563-51,SMART_563_SB,SMART
shp-610-02,SMART_610_NB,SMART
shp-610-51,SMART_610_SB,SMART
shp-615-01,SMART_615_NB,SMART
shp-615-51,SMART_615_SB,SMART
shp-620-01,SMART_620_NB,SMART
shp-620-51,SMART_620_SB,SMART
shp-635-01,SMART_635_NB,SMART
shp-635-51,SMART_635_SB,SMART
shp-710-52,SMART_710_EB,SMART
shp-710-02,SMART_710_WB,SMART
shp-730-55,SMART_730_EB,SMART
shp-730-05,SMART_730_WB,SMART
shp-740-07,SMART_740_EB,SMART
shp-740-61,SMART_740_WB,SMART
shp-759-01,SMART_759_EB,SMART
shp-759-51,SMART_759_WB,SMART
shp-760-54,SMART_760_EB,SMART
shp-760-02,SMART_760_WB,SMART
shp-780-52,SMART_780_EB,SMART
shp-780-03,SMART_780_WB,SMART
shp-790-02,SMART_790_EB,SMART
shp-790-51,SMART_790_WB,SMART
shp-796-02,SMART_796_EB,SMART
shp-796-52,SMART_796_WB,SMART
shp-805-01,SMART_805_EB,SMART
shp-805-59,SMART_805_WB,SMART
shp-830-01,SMART_830_NB,SMART
shp-830-51,SMART_830_SB,SMART
shp-851-04,SMART_851_NB,SMART
shp-851-53,SMART_851_SB,SMART
90ab778b-A-IB,BWAT_29_NB,BWAT
ecd7ac2c-A-OB,BWAT_94_SB,BWAT
ecd7ac2c-A-IB,BWAT_94_NB,BWAT
5c6cbf42-Variant_-_A-IB,BWAT_Shop_WB,BWAT
db4ad793-A-OB,BWAT_29_SB,BWAT
b92d22ee-A-IB,BWAT_04_SB,BWAT
f1c03016-A-IB,BWAT_05_SB,BWAT
dc09a35e-A-OB,BWAT_01_SB,BWAT
dc09a35e-A-IB,BWAT_01_NB,BWAT
b92d22ee-A-OB,BWAT_04_NB,BWAT
00aaa506-A-IB,BWAT_06_SB,BWAT
00aaa506-A-OB,BWAT_06_NB,BWAT
72e8f6ce-A-OB,BWAT_09_SB,BWAT
72e8f6ce-A-IB,BWAT_09_NB,BWAT
5c6cbf42-Variant_-_A-OB,BWAT_Shop_EB,BWAT
2c061f24-A-OB,BWAT_02_SB,BWAT
2c061f24-A-IB,BWAT_02_NB,BWAT
2b663066-A-OB,BWAT_03_WB,BWAT
2b663066-A-IB,BWAT_03_EB,BWAT
f1c03016-A-OB,BWAT_05_NB,BWAT
47c3d04d-A-LO,BWAT_Loop_Branch,BWAT
1207669523,LET_3_Loop,LET
1207669528,LET_6_Loop,LET
1207669531,LET_2_Loop,LET
1207669536,LET_7_Loop,LET
1207669540,LET_9_Loop,LET
1207669543,LET_8_Line,LET
1207669547,LET_4_Loop,LET
1207669551,LET_5_Line,LET
1207669524,LET_3_Branch,LET
1207669527,LET_6_Branch,LET
1207669532,LET_2_Branch,LET
1207669535,LET_7_Branch,LET
1207669539,LET_9_Branch,LET
1207669544,LET_8_Branch,LET
1207669548,LET_4_Branch,LET
1207669552,LET_5_Branch,LET
shp-MX-05,UMI_MedicalExpress_WB_Branch,UMI
shp-NES-51,UMI_Northeast_SB,UMI
shp-NES-52,UMI_Northeast_SB,UMI
shp-NES-53,UMI_Northeast_SB_Branch,UMI
shp-NES-02,UMI_Northeast_NB,UMI
shp-NES-03,UMI_Northeast_NB,UMI
shp-NES-54,UMI_Northeast_SB_Branch,UMI
shp-NW-02,UMI_Northwood_Branch,UMI
shp-WS-01,UMI_WallStreetNIB_SB,UMI
shp-NW-51,UMI_Northwood_SB,UMI
shp-NW-01,UMI_Northwood_NB,UMI
shp-WS-51,UMI_WallStreetNIB_NB,UMI
shp-MX-04,UMI_MedicalExpress_WB,UMI
shp-CS-02,UMI_Commuter_SB,UMI
shp-NX-03,UMI_NorthwoodExpress_NB,UMI
shp-NX-04,UMI_Branch,UMI
shp-NX-54,UMI_NorthwoodExpress_SB,UMI
shp-CN-01,UMI_Commuter_NB,UMI
shp-MX-52,UMI_MedicalExpress_EB,UMI
shp-BB-51,UMI_BursleyBaits_SB,UMI
shp-BB-02,UMI_BursleyBaits_NB,UMI
shp-DD-51,UMI_DiagToDiag_SB,UMI
shp-DD-01,UMI_DiagToDiag_NB,UMI
shp-CSX-01,UMI_CrislerExpress_SB,UMI
shp-NES-01,UMI_Northeast_NB_Branch,UMI
shp-NES-04,UMI_Northeast_NB_Branch,UMI
shp-OS-01,UMI_Oxford_WB,UMI
shp-OS-51,UMI_Oxford_EB,UMI
shp-CN-05,UMI_Commuter_NB_Branch,UMI
shp-WX-01,UMI_WallStreetExpress_SB,UMI
shp-WX-51,UMI_WallStreetExpress_NB,UMI
shp-BB-01,UMI_BursleyBaits_NB_Branch,UMI
SE 3 Main,LET_3_Loop,LET
Macomb 6 Main,LET_6_Loop,LET
Elm 2 Main,LET_2_Loop,LET
South Monroe 7 Main,LET_7_Loop,LET
South Custer 9 Main,LET_9_Loop,LET
N Monroe 8 Main,LET_8_Line,LET
Seventh  4 Main,LET_4_Loop,LET
Telegraph 5 Main,LET_5_Line,LET
