trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2445020,44,2,"44 Ecorse Tyler to West Willow",,1,6602,shp-44-02,1,1
1322020,4,2,"Washtenaw to YTC",,1,5202,shp-4-55,1,1
431020,4,2,"Washtenaw to BTC",,0,6002,shp-4-06,1,1
1674070,5,3,"Packard to Ypsilanti Transit Ctr",,1,7707,shp-5-07,1,1
2604020,66,2,"Carpenter - Huron Pkwy to Green Rd P&R",,1,8702,shp-66-10,1,1
2804020,32,2,"Miller - Maple to Pennsylvania & Maple",,1,1602,shp-32-54,1,1
2412020,4,2,"Washtenaw to YTC",,1,5402,shp-4-55,1,1
2683020,24,2,"Eisenhower - Golfside to St. Joe's Hospital",,1,602,shp-24-59,1,1
2505020,3,2," Huron River to BTC",,0,7002,shp-3-03,1,1
2400010,44,1,"44 Ecorse Tyler to West Willow",,1,6501,shp-44-02,1,1
611010,44,1,"44 Ecorse Tyler to YTC",,0,6501,shp-44-52,1,1
2035020,44,2,"44 Ecorse Tyler to West Willow",,1,6802,shp-44-02,1,1
1083070,27,3,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3407,shp-27-04,1,1
2624020,5,2,"Packard to Meijer: Carpenter Rd",,1,8802,shp-5-08,1,1
3030020,43,2,"E Michigan Ave to Holmes & Ridge",,1,7602,shp-43-02,1,1
2547010,4,1,"Washtenaw to BTC",,0,4901,shp-4-06,1,1
590020,28,2,"Pauline to Maple & Pennsylvania",,1,2302,shp-28-12,1,1
479070,25,3,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,3607,shp-25-09,1,1
771020,68,2,"Harris - Ford to Holmes & Ridge",,0,7402,shp-68-51,1,1
2031020,45,2,"Grove to Ypsilanti Transit Ctr",,0,6802,shp-45-51,1,1
2893020,5,2,"Packard to Meijer: Carpenter Rd",,1,8102,shp-5-08,1,1
620010,4,1,"Washtenaw to YTC",,1,5001,shp-4-55,1,1
84020,65,2,"U-M - Downtown - Green to CCTC",,0,8902,shp-65-03,1,1
3066070,45,3,"Grove to Harry & Grove",,1,7807,shp-45-03,1,1
618070,30,3,"Jackson Rd to BTC",,0,3707,shp-30-51,1,1
1833070,5,3,"A Packard to BTC",,0,7807,shp-5-01,1,1
164070,6,3,"Ellsworth to Blake Transit Ctr",,0,707,shp-6-10,1,1
1641020,46,2,"Huron-Paint Creek to Ypsilanti Transit Ctr",,0,6702,shp-46-56,1,1
1358070,45,3,"Grove to Ypsilanti Transit Ctr",,0,7807,shp-45-51,1,1
1699020,22,2,"Pontiac - Dhu Varren to Pierpont Commons",,1,3602,shp-22-04,1,1
1270010,24,1,"Eisenhower - Golfside to Blake Transit Ctr",,0,401,shp-24-04,1,1
389020,26,2,"Scio Church to Scio Ridge",,1,1802,shp-26-02,1,1
2841070,43,3,"E Michigan Ave to Holmes & Ridge",,1,7407,shp-43-02,1,1
890020,22,2,"Pontiac - Dhu Varren to Pierpont Commons",,1,3702,shp-22-04,1,1
